end_time,start_time,duration,time_offset,exercise_type,max_speed,calorie,mean_speed,update_time,live_data,distance,datauuid,create_time
2018-06-12 16:20:53.000,2018-06-12 15:57:16.000,1417052,UTC+0100,1001,1.7307204,98.13331,1.5635948,2018-06-12 16:21:58.316,419d5dc6-8325-4f35-bfa8-55b0bed5b7e8.live_data.json,2215.6953,419d5dc6-8325-4f35-bfa8-55b0bed5b7e8,2018-06-12 16:21:58.316
2018-07-25 12:41:06.000,2018-07-25 11:49:00.000,3126489,UTC+0100,1001,1.6468716,191.48132,1.3463628,2018-07-25 12:42:21.137,425f9500-186c-4e40-815a-35a667bae899.live_data.json,4209.3887,425f9500-186c-4e40-815a-35a667bae899,2018-07-25 12:42:21.137
2018-08-18 14:24:06.000,2018-08-18 14:10:05.000,840934,UTC+0200,1001,1.5386076,54.282593,1.4186457,2018-08-18 14:29:06.038,44739f00-a875-4740-adc1-da23cfac2570.live_data.json,1192.9873,44739f00-a875-4740-adc1-da23cfac2570,2018-08-18 14:29:06.038
2018-08-09 16:21:04.000,2018-08-09 16:03:00.000,1084872,UTC+0200,1001,1.5743674,67.554474,1.3698269,2018-08-09 16:24:19.704,44caa9e5-f366-4513-af33-abbf2b8657eb.live_data.json,1486.0869,44caa9e5-f366-4513-af33-abbf2b8657eb,2018-08-09 16:24:19.704
2018-07-13 08:56:07.000,2018-07-13 08:19:00.000,2226806,UTC+0100,1001,1.869629,139.08223,1.4108889,2018-07-13 08:57:20.121,4574b24d-322f-4997-993c-54cd2732f0ba.live_data.json,3141.776,4574b24d-322f-4997-993c-54cd2732f0ba,2018-07-13 08:57:20.121
2018-08-11 18:55:04.000,2018-08-11 18:36:04.000,1140015,UTC+0200,1001,1.5353396,66.59857,1.2788466,2018-08-11 18:57:24.657,46b1b64c-4e3d-4558-877f-636354395b42.live_data.json,1457.9043,46b1b64c-4e3d-4558-877f-636354395b42,2018-08-11 18:57:24.657
2018-12-08 18:04:04.000,2018-12-08 17:12:34.000,3090227,UTC+0100,1001,1.601165,183.20142,1.3176411,2018-12-08 18:10:22.254,46c3e944-3781-41b1-ab2f-dfcdc427ae57.live_data.json,4071.8105,46c3e944-3781-41b1-ab2f-dfcdc427ae57,2018-12-08 18:10:22.254
2018-07-12 07:43:23.000,2018-07-12 07:08:19.000,2104236,UTC+0100,1001,1.6577371,138.00421,1.4749703,2018-07-12 09:09:11.684,47a56a1b-7738-48ff-b5de-d219a040f096.live_data.json,3103.6855,47a56a1b-7738-48ff-b5de-d219a040f096,2018-07-12 09:09:11.684
2018-10-10 17:11:03.000,2018-10-10 17:00:10.000,652962,UTC+0200,1001,1.8230475,43.32242,1.5070934,2018-10-10 17:29:12.792,4829c0c5-6b6a-4389-95fb-d3aef83fbda0.live_data.json,984.0747,4829c0c5-6b6a-4389-95fb-d3aef83fbda0,2018-10-10 17:29:12.792
2018-07-10 07:19:21.000,2018-07-10 06:43:01.000,2179682,UTC+0100,1001,1.7680101,139.03918,1.4309775,2018-07-10 07:21:28.199,499af606-5480-4d93-bccf-6f49cef807b2.live_data.json,3119.0757,499af606-5480-4d93-bccf-6f49cef807b2,2018-07-10 07:21:28.199
2018-10-20 19:18:38.000,2018-10-20 19:02:00.000,998841,UTC+0200,1001,1.7042915,69.4628,1.5797079,2018-10-20 19:20:32.008,4a053348-b526-46e8-b28c-14b5c88d0bbe.live_data.json,1577.877,4a053348-b526-46e8-b28c-14b5c88d0bbe,2018-10-20 19:20:32.008
2018-07-03 15:38:53.000,2018-07-03 15:05:00.000,2033006,UTC+0100,1001,1.6506587,126.23944,1.3937415,2018-07-03 15:41:06.484,4aa3dd0c-6490-4812-ac48-ea49e39707b8.live_data.json,2833.4849,4aa3dd0c-6490-4812-ac48-ea49e39707b8,2018-07-03 15:41:06.484
2018-11-10 16:07:51.000,2018-11-10 15:55:00.000,771186,UTC+0100,1001,1.543319,46.01483,1.2773713,2018-11-10 16:12:13.147,4ae72b71-b5ca-4803-bb3c-65895d4ed1a5.live_data.json,985.0908,4ae72b71-b5ca-4803-bb3c-65895d4ed1a5,2018-11-10 16:12:13.147
2018-06-21 07:23:19.000,2018-06-21 06:49:07.000,2051427,UTC+0100,1001,1.7683579,131.70276,1.4488286,2018-06-21 07:52:35.382,4afdf903-60c6-407d-8fcc-537bed538769.live_data.json,2972.166,4afdf903-60c6-407d-8fcc-537bed538769,2018-06-21 07:52:35.382
2018-07-12 18:39:39.000,2018-07-12 18:27:04.000,755080,UTC+0100,1001,1.5750294,44.782818,1.3028967,2018-07-12 18:40:59.612,4c60753a-4752-4b98-b606-d53fc62c9b57.live_data.json,983.79126,4c60753a-4752-4b98-b606-d53fc62c9b57,2018-07-12 18:40:59.612
2018-09-29 16:48:13.000,2018-09-29 16:33:00.000,913688,UTC+0200,1001,1.7027934,49.03418,1.1400355,2018-09-29 16:49:20.673,4eb0863f-3581-4b5d-a0e6-cbe7ab5d7965.live_data.json,1041.6367,4eb0863f-3581-4b5d-a0e6-cbe7ab5d7965,2018-09-29 16:49:20.673
